Designator,Mid X,Mid Y,Rotation,Layer
C1,61.595,-51.435,90.0,top
C2,51.435,-51.435,90.0,top
D1,61.595,-57.15,90.0,top
J1,56.515,-62.205,90.0,top
J2,56.515,-34.8,90.0,top
R1,56.515,-57.785,0.0,top
R2,51.435,-57.15,90.0,top
U1,56.515,-51.435,270.0,top
