Designator,Mid X,Mid Y,Rotation,Layer
C1,78.4225,-45.72,90.0,top
C2,71.4375,-45.72,90.0,top
C3,74.93,-48.895,0.0,top
D1,71.795,-58.1025,0.0,top
D2,81.5975,-60.0075,270.0,top
J1,74.93,-38.1,180.0,top
J2,71.755,-62.5475,90.0,top
J3,68.58,-49.53,0.0,bottom
J4,81.28,-49.53,0.0,bottom
R1,67.78625,-39.0525,270.0,top
R2,82.07375,-39.0525,270.0,top
R3,78.74,-60.0075,90.0,top
U1,74.93,-53.0225,270.0,top
U2,74.93,-45.72,90.0,top
